doi,title,theory,confidence_raw,source
10.1159/000094607,An original approach to aging: an appreciation of Fritz Verzár's contribution in the light of the last 50 years of gerontological facts and thinking.,Evolutionary Theories of Aging (Antagonistic Pleiotropy and Disposable Soma),"high (as a known theory, but low focus here)",full_text
10.1111/joim.13141,Senolytic drugs: from discovery to translation.,Unitary Theory of Fundamental Aging Processes,medium-high,full_text
10.1111/joim.13141,Senolytic drugs: from discovery to translation.,Geroscience Hypothesis,medium-high,full_text
10.18632/aging.100580,M(o)TOR of aging: MTOR as a universal molecular hypothalamus.,Cellular Senescence as a Driver of Systemic Aging via MTOR Hyperfunction,medium-high,full_text
10.1016/j.arr.2022.101770,Modalities of aging in organisms with different strategies of resource allocation.,Growth Arrest and Aging Conflict Theory,medium to high,full_text
10.1111/1365-2745.12089,Plants do not count… or do they? New perspectives on the universality of senescence.,Negative Senescence and Indeterminate Growth Theory,medium-high,full_text
10.1186/s41232-020-00138-3,Aging and leukemic evolution of hematopoietic stem cells under various stress conditions.,Cell Polarity and Cdc42 Activity Theory of HSC Aging,medium-high,full_text
10.1186/s41232-020-00138-3,Aging and leukemic evolution of hematopoietic stem cells under various stress conditions.,Senescence and Senescence-Associated Secretory Phenotype (SASP) Theory of HSC Aging,medium-high,full_text
10.1016/j.jaging.2021.100954,"Experiences and motives of retirement-aged workers during the first wave of COVID-19 in Slovenia: ""This was the first time in 40 years that I really saw spring"".",Disengagement theory (historical comparison),"high (as a known theory, but low focus here)",full_text
10.1016/j.jaging.2021.100954,"Experiences and motives of retirement-aged workers during the first wave of COVID-19 in Slovenia: ""This was the first time in 40 years that I really saw spring"".",Activity theory of aging,high (established theory),full_text
10.1093/gerona/glt090,Increased metabolic flexibility and complexity in a long-lived growth hormone insensitive mouse model.,Metabolic Flexibility as a Mechanism of Healthy Aging,medium-high,full_text
10.1093/molbev/msp293,An evolutionary genome scan for longevity-related natural selection in mammals.,Mitochondrial Free Radical and DNA Damage Theory of Aging (Critiqued),"high (as a known theory, but low confidence in this paper's support)",full_text
10.3390/ijms22073404,Stiffness and Aging in Cardiovascular Diseases: The Dangerous Relationship between Force and Senescence.,Cytoskeletal Alterations and Increased Cellular Stiffness in Aging,medium-high,full_text
10.3389/fgene.2012.00259,"The Intersection of Aging, Longevity Pathways, and Learning and Memory in C. elegans.",Neuronal Aging and Cognitive Decline Theory,medium-high,full_text
10.1016/j.celrep.2019.11.091,"Patterns of Aging Biomarkers, Mortality, and Damaging Mutations Illuminate the Beginning of Aging and Causes of Early-Life Mortality.",Antagonistic pleiotropy and disposable soma theories (discussed in context),high (classical theory),full_text
10.1016/j.arr.2021.101301,"Late-onset hypogonadism: Clinical evidence, biological aspects and evolutionary considerations.",Testosterone-driven anabolic versus maintenance program antagonism theory,medium-high,full_text
10.1111/evo.13633,Encephalization and longevity evolved in a correlated fashion in Euarchontoglires but not in other mammals.,Antagonistic Pleiotropy and Disposable Soma Theories (Referenced),high (established theories),full_text
10.3389/fgene.2016.00216,Empirical Validation of a Hypothesis of the Hormetic Selective Forces Driving the Evolution of Longevity Regulation Mechanisms.,Evolutionary Theories of Programmed and Non-Programmed Aging (Discussed for Future Testing),"high (established theories), but low as focus of this paper",full_text
10.3389/fnagi.2021.718426,Innate Immune System Activation and Neuroinflammation in Down Syndrome and Neurodegeneration: Therapeutic Targets or Partners?,Granulocyte-Macrophage Colony-Stimulating Factor (GM-CSF) Modulation of Cognitive Aging,medium-high,full_text
10.1210/er.2009-0024,From estrogen-centric to aging and oxidative stress: a revised perspective of the pathogenesis of osteoporosis.,Wnt/β-Catenin Signaling Modulation by Oxidative Stress Theory,medium-high,full_text
10.1111/1365-2435.13458,Why leveraging sex differences in immune trade-offs may illuminate the evolution of senescence.,Sex differences in immune function as a driver of senescence evolution,medium to high,full_text
