cluster_name,theory_id,theory_name,paper_title,doi
"Accumulated Damage Theory",T000028,"Damage Accumulation Theories","A synopsis on aging-Theories; mechanisms and future prospects.",10.1016/j.arr.2016.06.005
"Accumulated Damage Theory",T000332,"Damage accumulation and repair theory of cellular aging","Stochastic modeling of aging cells reveals how damage accumulation; repair; and cell-division asymmetry affect clonal senescence and population fitness.",10.1186/s12859-019-2921-3
"Accumulated Damage Theory",T000868,"Damage Accumulation Theory of Aging","Microbial ageing and longevity.",10.1038/s41579-019-0253-y
"Accumulated Damage Theory",T001229,"Damage Accumulation and Asymmetric Division Theory of Replicative Ageing","Synergistic effects of repair; resilience and retention of damage determine the conditions for replicative ageing.",10.1038/s41598-020-58444-2
"Accumulated Damage Theory",T001282,"Damage Accumulation Theory of Aging (Free Radical Hypothesis)","The adversities of aging.",10.1016/j.arr.2006.05.002
"Accumulated Damage Theory",T001356,"Damage Accumulation Theory with Enhanced DNA Repair and Tumor Suppression in Whales","Deciphering the whale's secrets to have a long life.",10.1016/j.exger.2021.111425
"Accumulated Damage Theory",T001519,"Damage Accumulation Theory (Oxidative Damage Focus)","Some highlights of research on aging with invertebrates; 2009.",10.1111/j.1474-9726.2009.00498.x
"Accumulated Damage Theory",T001659,"Damage Accumulation Theory of Aging","Innovating aging: promises and pitfalls on the road to life extension.",10.1159/000357670
"Accumulated Damage Theory",T001883,"Damage Accumulation and Asymmetric Partitioning Theory of Cellular Aging and Immortality","Cell aging preserves cellular immortality in the presence of lethal levels of damage.",10.1371/journal.pbio.3000266
"Accumulated Damage Theory",T001901,"Damage Accumulation Model of Senescence","Age-independent and age-dependent decreases in reproduction of females.",10.1111/j.1461-0248.2011.01621.x
"Accumulated Damage Theory",T001923,"Damage Accumulation Theory of Aging via Somatic Repair Deficiency","Higher expression of somatic repair genes in long-lived ant queens than workers.",10.18632/aging.101027
"Accumulated Damage Theory",T002242,"Damage Accumulation Theory of Aging","Contribution of Quantitative Methods of Estimating Mortality Dynamics to Explaining Mechanisms of Aging.",10.1134/S0006297915120020
"Accumulated Damage Theory",T003291,"Cumulative Stochastic Damage Theory of Aging","When does human ageing begin?",10.1016/j.mad.2005.11.003
"Accumulated Damage Theory",T004028,"Damage Accumulation Theory of Aging","Signatures of Extreme Longevity: A Perspective from Bivalve Molecular Evolution.",10.1093/gbe/evad159
"Accumulated Damage Theory",T004401,"Damage Accumulation Theory of Aging","Why Gilgamesh failed: the mechanistic basis of the limits to human lifespan.",10.1038/s43587-022-00291-z
"Accumulated Damage Theory",T004637,"Damage Accumulation Theory of Aging","Does damage to DNA and other macromolecules play a role in aging? If so; how?",10.1093/gerona/gln065
"Accumulated Damage Theory",T005377,"Damage Accumulation Theory of Yeast Replicative Aging","The yeast replicative aging model.",10.1016/j.bbadis.2018.02.023
"Accumulated Damage Theory",T005712,"Accumulated Damage Theory of Aging","A model of aging as accumulated damage matches observed mortality patterns and predicts the life-extending effects of prospective interventions.",10.1007/s11357-007-9038-8
"Accumulated Damage Theory",T005773,"Damage Accumulation Theory of Aging","Genetics and pharmacology of longevity: the road to therapeutics for healthy aging.",10.1016/bs.adgen.2015.06.002
"Accumulated Damage Theory",T006175,"Damage Accumulation Theory of Aging","Mechanisms of ageing.",10.1038/eye.2001.139
"Accumulated Damage Theory",T006219,"Damage accumulation theory of aging (oxidative DNA damage hypothesis)","Lifespan extension by dietary restriction is not linked to protection against somatic DNA damage in Drosophila melanogaster.",10.1111/j.1474-9726.2009.00480.x
"Accumulated Damage Theory",T006226,"Damage Accumulation Theory via Genomic Instability Induced by Space Radiation","Cosmic chronometers: Is spaceflight a catalyst for biological ageing?",10.1016/j.arr.2024.102227
"Accumulated Damage Theory",T007077,"Damage Accumulation Theory of Aging","Disease control and active and healthy ageing: new paradigms of therapeutic strategy.",10.2174/1381612820666140316132652
"Accumulated Damage Theory",T008817,"Damage Accumulation Theory of Aging in Unicellular Organisms","Aging and immortality in unicellular species.",10.1016/j.mad.2017.08.006
"Accumulated Damage Theory",T009111,"Damage Accumulation Theory of Aging","How genetic analysis tests theories of animal aging.",10.1038/ng1881
"Accumulated Damage Theory",T010085,"Damage Accumulation and Asymmetric Segregation Theory of Bacterial Aging","Senescence in Bacteria and Its Underlying Mechanisms.",10.3389/fcell.2021.668915
"Accumulated Damage Theory",T010089,"Damage Accumulation Theory of Aging","Exploring the Geroprotective Potential of Nutraceuticals.",10.3390/nu16172835
"Accumulated Damage Theory",T011027,"Damage Accumulation Theory of Aging","Pregnancy as a model for aging.",10.1016/j.arr.2020.101093
"Accumulated Damage Theory",T011492,"Damage Accumulation Theory of Aging","Molecular Damage in Aging.",10.1038/s43587-021-00150-3
"Accumulated Damage Theory",T011706,"Standard hypothesis of aging (damage accumulation and longevity assurance balance)","Detoxification reactions: relevance to aging.",10.1016/j.arr.2008.04.001
"Accumulated Damage Theory",T015368,"Mitochondrial Damage Accumulation Theory of Aging","Genes; mitochondria and aging in filamentous fungi.",10.1016/s1568-1637(02)00010-7
"Accumulated Damage Theory",T015422,"Cumulative Damage and Discoordination Theory of Cellular Aging","Cell aging in vivo and in vitro.",10.1016/s0047-6374(97)00067-5
